CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,REGION
'001902001,1,1,1,1,1,1,1,CAYUGA H S,N,N,ANDERSON,'001,A,CAYUGA ISD,'001902,'09 - 12,S,'07
'001902041,0,0,1,0,1,0,0,CAYUGA MIDDLE,N,N,ANDERSON,'001,B,CAYUGA ISD,'001902,'06 - 08,M,'07
'001902103,1,1,1,1,0,0,,CAYUGA EL,N,N,ANDERSON,'001,A,CAYUGA ISD,'001902,'PK - 05,E,'07
'001903001,0,1,0,1,1,1,1,ELKHART H S,N,N,ANDERSON,'001,B,ELKHART ISD,'001903,'09 - 12,S,'07
'001903002,,,,,,,,ELKHART DAEP,N,N,ANDERSON,'001,Not Rated,ELKHART ISD,'001903,'08 - 10,S,'07
'001903041,1,0,1,0,0,1,1,ELKHART MIDDLE,N,N,ANDERSON,'001,B,ELKHART ISD,'001903,'06 - 08,M,'07
'001903101,,,,,,,,ELKHART EL,N,N,ANDERSON,'001,A,ELKHART ISD,'001903,'PK - 02,E,'07
'001903102,1,1,1,1,1,1,,ELKHART INT,N,N,ANDERSON,'001,A,ELKHART ISD,'001903,'03 - 05,E,'07
'001904001,0,1,1,0,1,0,0,FRANKSTON H S,N,N,ANDERSON,'001,B,FRANKSTON ISD,'001904,'09 - 12,S,'07
'001904041,1,0,1,0,0,1,1,FRANKSTON MIDDLE,N,N,ANDERSON,'001,B,FRANKSTON ISD,'001904,'06 - 08,M,'07
'001904102,0,0,1,0,0,0,,FRANKSTON EL,N,N,ANDERSON,'001,C,FRANKSTON ISD,'001904,'EE - 05,E,'07
'001906002,,1,1,1,0,0,0,NECHES H S,N,N,ANDERSON,'001,A,NECHES ISD,'001906,'09 - 12,S,'07
'001906102,0,0,0,0,0,0,0,NECHES EL,N,N,ANDERSON,'001,C,NECHES ISD,'001906,'PK - 08,E,'07
'001907001,1,1,0,1,1,1,0,PALESTINE H S,N,N,ANDERSON,'001,B,PALESTINE ISD,'001907,'09 - 12,S,'07
'001907041,1,0,1,1,1,0,0,PALESTINE J H,N,N,ANDERSON,'001,B,PALESTINE ISD,'001907,'07 - 08,M,'07
'001907101,,,,,,,,NORTHSIDE PRI,N,N,ANDERSON,'001,B,PALESTINE ISD,'001907,'KG - 01,E,'07
'001907102,,,,,,,,WASHINGTON EARLY CHILDHOOD CENTER,N,N,ANDERSON,'001,B,PALESTINE ISD,'001907,'EE - PK,E,'07
'001907107,1,1,1,,0,,,SOUTHSIDE EL,N,N,ANDERSON,'001,B,PALESTINE ISD,'001907,'02 - 03,E,'07
'001907110,0,0,0,0,0,0,,STORY INT,N,N,ANDERSON,'001,D,PALESTINE ISD,'001907,'04 - 06,E,'07
'001908002,0,0,0,0,0,1,1,WESTWOOD H S,N,N,ANDERSON,'001,B,WESTWOOD ISD,'001908,'09 - 12,S,'07
'001908041,0,1,0,0,0,0,0,WESTWOOD J H,N,N,ANDERSON,'001,C,WESTWOOD ISD,'001908,'07 - 08,M,'07
'001908101,0,0,0,0,0,0,,WESTWOOD EL,N,N,ANDERSON,'001,F,WESTWOOD ISD,'001908,'02 - 06,E,'07
'001908102,,,,,,,,WESTWOOD PRI,N,N,ANDERSON,'001,F,WESTWOOD ISD,'001908,'EE - 02,E,'07
'001909001,0,0,1,0,0,1,1,SLOCUM H S,N,N,ANDERSON,'001,A,SLOCUM ISD,'001909,'09 - 12,S,'07
'001909101,1,0,1,1,0,0,0,SLOCUM PK - 8,N,N,ANDERSON,'001,B,SLOCUM ISD,'001909,'PK - 08,E,'07
'002901001,0,1,0,0,0,0,0,ANDREWS H S,N,N,ANDREWS,'002,B,ANDREWS ISD,'002901,'08 - 12,S,'18
'002901002,,,,,,,,ANDREWS EDUCATION CENTER,Y,N,ANDREWS,'002,C,ANDREWS ISD,'002901,'09 - 12,S,'18
'002901041,0,0,0,0,0,0,0,ANDREWS MIDDLE,N,N,ANDREWS,'002,C,ANDREWS ISD,'002901,'06 - 08,M,'18
'002901101,0,0,0,,0,,,DEVONIAN EL,N,N,ANDREWS,'002,C,ANDREWS ISD,'002901,'02 - 03,E,'18
'002901104,0,0,0,0,0,0,,UNDERWOOD EL,N,N,ANDREWS,'002,D,ANDREWS ISD,'002901,'04 - 05,E,'18
'002901105,,,,,,,,CLEARFORK EL,N,N,ANDREWS,'002,C,ANDREWS ISD,'002901,'EE - 01,E,'18
'003801001,0,0,0,1,0,0,0,PINEYWOODS COMMUNITY ACADEMY H S,N,Y,ANGELINA,'003,A,PINEYWOODS COMMUNITY ACADEMY,'003801,'09 - 12,S,'07
'003801042,0,0,0,0,0,0,0,DR TERRY ROBBINS MIDDLE,N,Y,ANGELINA,'003,C,PINEYWOODS COMMUNITY ACADEMY,'003801,'06 - 08,M,'07
'003801103,1,1,1,0,1,1,,SARAH STRINDEN EL,N,Y,ANGELINA,'003,A,PINEYWOODS COMMUNITY ACADEMY,'003801,'PK - 05,E,'07
'003902001,1,1,1,1,1,1,1,HUDSON H S,N,N,ANGELINA,'003,A,HUDSON ISD,'003902,'09 - 12,S,'07
'003902004,,,,,,,,STUBBLEFIELD LRN CTR,Y,N,ANGELINA,'003,D,HUDSON ISD,'003902,'10 - 12,S,'07
'003902041,1,1,1,1,1,1,1,HUDSON MIDDLE,N,N,ANGELINA,'003,B,HUDSON ISD,'003902,'06 - 08,M,'07
'003902101,,,,,,,,W F PEAVY PRI,N,N,ANGELINA,'003,B,HUDSON ISD,'003902,'EE - 02,E,'07
'003902102,0,1,0,0,0,0,,W H BONNER EL,N,N,ANGELINA,'003,B,HUDSON ISD,'003902,'03 - 05,E,'07
'003903001,0,0,1,0,0,1,1,LUFKIN H S,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'08 - 12,S,'07
'003903004,,,,,,,,STUBBLEFIELD LRN CTR,Y,N,ANGELINA,'003,C,LUFKIN ISD,'003903,'09 - 12,S,'07
'003903044,0,0,0,0,0,0,1,LUFKIN MIDDLE,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'06 - 08,M,'07
'003903120,1,0,1,1,0,1,,ANDERSON EL,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'03 - 05,E,'07
'003903121,1,1,1,1,1,1,,BRANDON EL,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'03 - 05,E,'07
'003903122,0,0,0,0,0,1,,BROOKHOLLOW EL,N,N,ANGELINA,'003,C,LUFKIN ISD,'003903,'03 - 05,E,'07
'003903123,1,1,0,1,0,0,,COSTON EL,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'03 - 05,E,'07
'003903124,,,,,,,,DUNBAR PRI,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'KG - 02,E,'07
'003903125,,,,,,,,GARRETT PRI,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'PK - PK,E,'07
'003903126,,,,,,,,HACKNEY PRI,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'PK - PK,E,'07
'003903127,,,,,,,,HERTY PRI,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'EE - 02,E,'07
'003903128,,,,,,,,KURTH PRI,N,N,ANGELINA,'003,B,LUFKIN ISD,'003903,'PK - 02,E,'07
'003903129,0,0,0,0,0,0,,SLACK EL,N,N,ANGELINA,'003,C,LUFKIN ISD,'003903,'02 - 05,E,'07
'003903130,,,,,,,,TROUT PRI,N,N,ANGELINA,'003,C,LUFKIN ISD,'003903,'EE - 02,E,'07
'003903131,,,,,,,,BURLEY PRI,N,N,ANGELINA,'003,C,LUFKIN ISD,'003903,'KG - 02,E,'07
'003903141,,,,,,,,SPECIAL SERVICES,N,N,ANGELINA,'003,Not Rated,LUFKIN ISD,'003903,'EE - KG,E,'07
'003903201,,,,,,,,JUVENILE DETENT CTR,N,N,ANGELINA,'003,Not Rated,LUFKIN ISD,'003903,'06 - 11,B,'07
'003904001,0,0,0,0,0,0,0,HUNTINGTON H S,N,N,ANGELINA,'003,B,HUNTINGTON ISD,'003904,'09 - 12,S,'07
'003904005,,,,,,,,PRIDE ALTER SCH,Y,N,ANGELINA,'003,C,HUNTINGTON ISD,'003904,'10 - 12,S,'07
'003904041,1,1,1,1,0,0,0,HUNTINGTON MIDDLE,N,N,ANGELINA,'003,B,HUNTINGTON ISD,'003904,'06 - 08,M,'07
'003904101,0,0,0,,0,,,HUNTINGTON EL,N,N,ANGELINA,'003,C,HUNTINGTON ISD,'003904,'EE - 03,E,'07
'003904102,1,0,0,0,0,0,,HUNTINGTON INT,N,N,ANGELINA,'003,B,HUNTINGTON ISD,'003904,'04 - 05,E,'07
'003905001,0,0,1,0,0,1,1,DIBOLL H S,N,N,ANGELINA,'003,B,DIBOLL ISD,'003905,'09 - 12,S,'07
'003905004,,,,,,,,STUBBLEFIELD LRN CTR,Y,N,ANGELINA,'003,Not Rated,DIBOLL ISD,'003905,'11 - 12,S,'07
'003905041,1,1,1,0,0,1,1,DIBOLL J H,N,N,ANGELINA,'003,B,DIBOLL ISD,'003905,'06 - 08,M,'07
'003905101,,,,,,,,H G TEMPLE EL,N,N,ANGELINA,'003,B,DIBOLL ISD,'003905,'KG - 02,E,'07
'003905102,,,,,,,,DIBOLL PRI,N,N,ANGELINA,'003,B,DIBOLL ISD,'003905,'PK - PK,E,'07
'003905103,0,0,0,1,0,0,,H G TEMPLE INT,N,N,ANGELINA,'003,B,DIBOLL ISD,'003905,'03 - 05,E,'07
'003906001,0,0,0,0,0,0,0,ZAVALLA H S,N,N,ANGELINA,'003,B,ZAVALLA ISD,'003906,'06 - 12,B,'07
'003906101,0,1,0,0,0,0,,ZAVALLA EL,N,N,ANGELINA,'003,C,ZAVALLA ISD,'003906,'PK - 05,E,'07
'003907001,0,0,1,0,0,0,0,CENTRAL H S,N,N,ANGELINA,'003,B,CENTRAL ISD,'003907,'09 - 12,S,'07
'003907004,,,,,,,,STUBBLEFIELD LRN CTR,N,N,ANGELINA,'003,Not Rated,CENTRAL ISD,'003907,'12 - 12,S,'07
'003907041,1,1,1,1,1,1,0,CENTRAL J H,N,N,ANGELINA,'003,A,CENTRAL ISD,'003907,'05 - 08,M,'07
'003907102,0,0,0,0,0,,,CENTRAL EL,N,N,ANGELINA,'003,C,CENTRAL ISD,'003907,'EE - 04,E,'07
'004901001,1,1,0,1,0,0,1,ROCKPORT-FULTON H S,N,N,ARANSAS,'004,B,ARANSAS COUNTY ISD,'004901,'09 - 12,S,'02
'004901041,0,1,1,0,1,1,0,ROCKPORT-FULTON MIDDLE,N,N,ARANSAS,'004,C,ARANSAS COUNTY ISD,'004901,'06 - 08,M,'02
'004901101,0,0,0,0,0,0,,FULTON LEARNING CENTER,N,N,ARANSAS,'004,C,ARANSAS COUNTY ISD,'004901,'03 - 05,E,'02
'004901102,,,,,,,,DISCOVERY LEARNING CENTER,N,N,ARANSAS,'004,C,ARANSAS COUNTY ISD,'004901,'EE - PK,E,'02
'004901103,,,,,,,,LIVE OAK LEARNING CENTER,N,N,ARANSAS,'004,C,ARANSAS COUNTY ISD,'004901,'KG - 02,E,'02
'005901001,1,0,1,0,1,1,1,ARCHER CITY H S,N,N,ARCHER,'005,A,ARCHER CITY ISD,'005901,'07 - 12,S,'09
'005901101,1,1,1,1,1,1,,ARCHER CITY EL,N,N,ARCHER,'005,A,ARCHER CITY ISD,'005901,'PK - 06,E,'09
'005902001,0,1,0,1,1,1,0,HOLLIDAY H S,N,N,ARCHER,'005,A,HOLLIDAY ISD,'005902,'09 - 12,S,'09
'005902041,0,0,1,0,0,0,1,HOLLIDAY MIDDLE,N,N,ARCHER,'005,B,HOLLIDAY ISD,'005902,'06 - 08,M,'09
'005902101,0,0,0,0,0,0,,HOLLIDAY EL,N,N,ARCHER,'005,C,HOLLIDAY ISD,'005902,'EE - 05,E,'09
'005904001,1,0,0,0,0,1,0,WINDTHORST H S,N,N,ARCHER,'005,A,WINDTHORST ISD,'005904,'09 - 12,S,'09
'005904041,0,1,1,0,0,1,1,WINDTHORST JH,N,N,ARCHER,'005,B,WINDTHORST ISD,'005904,'06 - 08,M,'09
'005904101,1,1,1,1,1,1,,WINDTHORST EL,N,N,ARCHER,'005,A,WINDTHORST ISD,'005904,'PK - 05,E,'09
'006902001,0,1,0,1,0,0,1,CLAUDE H S,N,N,ARMSTRONG,'006,B,CLAUDE ISD,'006902,'07 - 12,S,'16
'006902101,1,1,1,1,0,0,,CLAUDE EL,N,N,ARMSTRONG,'006,B,CLAUDE ISD,'006902,'PK - 06,E,'16
'007901001,1,0,0,0,0,0,0,CHARLOTTE H S,N,N,ATASCOSA,'007,B,CHARLOTTE ISD,'007901,'09 - 12,S,'20
'007901003,,,,,,,,DISTRICT REASSIGNMENT & OPPORTUNIT,N,N,ATASCOSA,'007,Not Rated,CHARLOTTE ISD,'007901,'07 - 07,M,'20
'007901041,0,0,0,0,0,0,0,CHARLOTTE MIDDLE,N,N,ATASCOSA,'007,C,CHARLOTTE ISD,'007901,'05 - 08,M,'20
'007901101,0,0,0,0,0,,,CHARLOTTE EL,N,N,ATASCOSA,'007,D,CHARLOTTE ISD,'007901,'EE - 04,E,'20
'007902001,0,0,0,0,0,1,0,JOURDANTON H S,N,N,ATASCOSA,'007,B,JOURDANTON ISD,'007902,'09 - 12,S,'20
'007902005,,,,,,,,ATASCOSA COUNTY JUVENILE JUSTICE C,Y,N,ATASCOSA,'007,Not Rated,JOURDANTON ISD,'007902,'08 - 12,S,'20
'007902006,,,,,,,,JOURDANTON DAEP,N,N,ATASCOSA,'007,Not Rated,JOURDANTON ISD,'007902,'05 - 11,B,'20
'007902041,1,1,1,1,0,0,0,JOURDANTON J H,N,N,ATASCOSA,'007,B,JOURDANTON ISD,'007902,'06 - 08,M,'20
'007902101,0,0,0,0,0,1,,JOURDANTON EL,N,N,ATASCOSA,'007,D,JOURDANTON ISD,'007902,'EE - 05,E,'20
'007904001,0,0,0,0,0,0,0,LYTLE H S,N,N,ATASCOSA,'007,C,LYTLE ISD,'007904,'09 - 12,S,'20
'007904002,,,,,,,,LYTLE DAEP,N,N,ATASCOSA,'007,Not Rated,LYTLE ISD,'007904,'06 - 12,B,'20
'007904003,,,,,,,,JJAEP,N,N,ATASCOSA,'007,Not Rated,LYTLE ISD,'007904,'09 - 12,S,'20
'007904041,0,0,0,0,0,0,0,LYTLE J H,N,N,ATASCOSA,'007,D,LYTLE ISD,'007904,'06 - 08,M,'20
'007904101,0,0,0,0,0,0,,LYTLE EL,N,N,ATASCOSA,'007,D,LYTLE ISD,'007904,'02 - 05,E,'20
'007904103,,,,,,,,LYTLE PRIMARY SCHOOL,N,N,ATASCOSA,'007,D,LYTLE ISD,'007904,'PK - 01,E,'20
'007905001,0,0,1,1,0,0,0,PLEASANTON H S,N,N,ATASCOSA,'007,B,PLEASANTON ISD,'007905,'09 - 12,S,'20
'007905004,,,,,,,,ATASCOSA CO ALTER,N,N,ATASCOSA,'007,Not Rated,PLEASANTON ISD,'007905,'09 - 09,S,'20
'007905005,,,,,,,,PLEASANTON ISD SCHOOL OF CHOICE,Y,N,ATASCOSA,'007,B,PLEASANTON ISD,'007905,'11 - 12,S,'20
'007905041,0,0,0,0,0,0,0,PLEASANTON J H,N,N,ATASCOSA,'007,D,PLEASANTON ISD,'007905,'06 - 08,M,'20
'007905103,0,0,0,0,0,0,,PLEASANTON EL,N,N,ATASCOSA,'007,F,PLEASANTON ISD,'007905,'02 - 05,E,'20
'007905105,,,,,,,,PLEASANTON PRI,N,N,ATASCOSA,'007,F,PLEASANTON ISD,'007905,'EE - 01,E,'20
'007906001,0,0,0,0,1,0,0,POTEET H S,N,N,ATASCOSA,'007,B,POTEET ISD,'007906,'09 - 12,S,'20
'007906003,,,,,,,,ATASCOSA CO JUVENILE UNIT,N,N,ATASCOSA,'007,Not Rated,POTEET ISD,'007906,'07 - 11,S,'20
'007906041,0,0,0,0,0,0,0,POTEET J H,N,N,ATASCOSA,'007,C,POTEET ISD,'007906,'06 - 08,M,'20
'007906101,0,0,0,,0,,,POTEET EL,N,N,ATASCOSA,'007,D,POTEET ISD,'007906,'EE - 03,E,'20
'007906102,0,0,0,0,0,0,,POTEET INT,N,N,ATASCOSA,'007,C,POTEET ISD,'007906,'04 - 05,E,'20
'008901001,0,0,0,0,1,1,1,BELLVILLE H S,N,N,AUSTIN,'008,B,BELLVILLE ISD,'008901,'09 - 12,S,'06
'008901041,0,1,0,1,1,0,0,BELLVILLE J H,N,N,AUSTIN,'008,B,BELLVILLE ISD,'008901,'06 - 08,M,'06
'008901101,0,0,0,,0,,,O'BRYANT PRI,N,N,AUSTIN,'008,C,BELLVILLE ISD,'008901,'EE - 03,E,'06
'008901102,0,0,0,0,0,0,,O'BRYANT INT,N,N,AUSTIN,'008,C,BELLVILLE ISD,'008901,'04 - 05,E,'06
'008901105,0,0,0,0,0,0,,WEST END EL,N,N,AUSTIN,'008,B,BELLVILLE ISD,'008901,'KG - 05,E,'06
'008902001,0,0,0,0,1,1,0,SEALY H S,N,N,AUSTIN,'008,B,SEALY ISD,'008902,'09 - 12,S,'06
'008902041,0,0,0,0,0,0,1,SEALY J H,N,N,AUSTIN,'008,C,SEALY ISD,'008902,'06 - 08,M,'06
'008902102,0,0,0,1,0,0,,SELMAN EL,N,N,AUSTIN,'008,B,SEALY ISD,'008902,'EE - 05,E,'06
'008902104,0,0,0,0,0,0,,SEALY EL,N,N,AUSTIN,'008,D,SEALY ISD,'008902,'PK - 05,E,'06
'008903001,0,0,0,0,0,0,0,BRAZOS H S,N,N,AUSTIN,'008,B,BRAZOS ISD,'008903,'09 - 12,S,'06
'008903041,1,1,1,1,1,1,1,BRAZOS MIDDLE,N,N,AUSTIN,'008,A,BRAZOS ISD,'008903,'06 - 08,M,'06
'008903102,0,0,0,0,0,0,,BRAZOS EL,N,N,AUSTIN,'008,D,BRAZOS ISD,'008903,'EE - 05,E,'06
'008903103,,,,,,,,PRAIRIE HARBOR ALTERNATIVE SCHOOL,N,N,AUSTIN,'008,Not Rated,BRAZOS ISD,'008903,'04 - 12,B,'06
'009901001,0,1,1,0,0,1,1,MULESHOE H S,N,N,BAILEY,'009,B,MULESHOE ISD,'009901,'09 - 12,S,'17
'009901002,,,,,,,,P E P,Y,N,BAILEY,'009,Not Rated,MULESHOE ISD,'009901,'09 - 12,S,'17
'009901041,0,0,0,0,0,0,1,WATSON J H,N,N,BAILEY,'009,C,MULESHOE ISD,'009901,'06 - 08,M,'17
'009901101,0,0,0,0,0,0,,MARY DESHAZO EL,N,N,BAILEY,'009,F,MULESHOE ISD,'009901,'03 - 05,E,'17
'009901103,,,,,,,,DILLMAN EL,N,N,BAILEY,'009,F,MULESHOE ISD,'009901,'EE - 02,E,'17
'010901001,0,0,0,0,0,1,0,MEDINA SCHOOL,N,N,BANDERA,'010,B,MEDINA ISD,'010901,'PK - 12,B,'20
'010902001,0,0,0,0,0,0,1,BANDERA H S,N,N,BANDERA,'010,B,BANDERA ISD,'010902,'09 - 12,S,'20
'010902041,0,0,0,0,0,0,0,BANDERA MIDDLE,N,N,BANDERA,'010,D,BANDERA ISD,'010902,'06 - 08,M,'20
'010902101,0,0,0,0,0,0,,ALKEK EL,N,N,BANDERA,'010,C,BANDERA ISD,'010902,'EE - 05,E,'20
'010902102,0,0,0,0,0,0,,HILL COUNTRY EL,N,N,BANDERA,'010,C,BANDERA ISD,'010902,'PK - 05,E,'20
'011901001,0,0,0,0,0,1,1,BASTROP H S,N,N,BASTROP,'011,B,BASTROP ISD,'011901,'09 - 12,S,'13
'011901002,0,1,1,0,0,1,0,CEDAR CREEK H S,N,N,BASTROP,'011,B,BASTROP ISD,'011901,'09 - 12,S,'13
'011901005,1,1,1,1,0,0,1,COLORADO RIVER COLLEGIATE ACADEMY,N,N,BASTROP,'011,A,BASTROP ISD,'011901,'09 - 12,S,'13
'011901022,,,,,,,,GENESIS H S,Y,N,BASTROP,'011,C,BASTROP ISD,'011901,'09 - 12,S,'13
'011901041,0,0,0,0,0,0,0,BASTROP MIDDLE,N,N,BASTROP,'011,C,BASTROP ISD,'011901,'07 - 08,M,'13
'011901101,0,0,0,0,0,,,EMILE EL,N,N,BASTROP,'011,D,BASTROP ISD,'011901,'PK - 04,E,'13
'011901102,0,0,1,0,1,,,MINA EL,N,N,BASTROP,'011,B,BASTROP ISD,'011901,'EE - 04,E,'13
'011901103,0,1,0,0,0,,,CEDAR CREEK EL,N,N,BASTROP,'011,C,BASTROP ISD,'011901,'EE - 04,E,'13
'011901104,0,0,0,0,0,0,,BASTROP INT,N,N,BASTROP,'011,C,BASTROP ISD,'011901,'05 - 06,M,'13
'011901106,0,0,0,0,0,0,0,CEDAR CREEK MIDDLE,N,N,BASTROP,'011,C,BASTROP ISD,'011901,'07 - 08,M,'13
'011901107,0,0,0,0,0,,,RED ROCK EL,N,N,BASTROP,'011,F,BASTROP ISD,'011901,'PK - 04,E,'13
'011901108,0,0,0,0,0,1,,CEDAR CREEK INT,N,N,BASTROP,'011,D,BASTROP ISD,'011901,'05 - 06,M,'13
'011901109,0,0,0,0,0,,,BLUEBONNET EL,N,N,BASTROP,'011,D,BASTROP ISD,'011901,'PK - 04,E,'13
'011901110,0,0,0,0,0,,,LOST PINES EL,N,N,BASTROP,'011,F,BASTROP ISD,'011901,'PK - 04,E,'13
'011902001,0,0,1,0,0,1,1,ELGIN H S,N,N,BASTROP,'011,B,ELGIN ISD,'011902,'09 - 12,S,'13
'011902003,,,,,,,,BASTROP COUNTY JUVENILE BOOT CAMP,N,N,BASTROP,'011,Not Rated,ELGIN ISD,'011902,'10 - 10,S,'13
'011902004,,,,,,,,PHOENIX H S,Y,N,BASTROP,'011,C,ELGIN ISD,'011902,'09 - 12,S,'13
'011902041,0,0,0,0,0,0,0,ELGIN MIDDLE,N,N,BASTROP,'011,D,ELGIN ISD,'011902,'06 - 08,M,'13
'011902101,0,0,0,0,0,0,,BOOKER T WASHINGTON EL,N,N,BASTROP,'011,D,ELGIN ISD,'011902,'KG - 05,E,'13
'011902102,0,0,0,0,0,0,,ELGIN EL,N,N,BASTROP,'011,C,ELGIN ISD,'011902,'EE - 05,E,'13
'011902103,0,0,0,0,0,0,,NEIDIG EL,N,N,BASTROP,'011,F,ELGIN ISD,'011902,'KG - 05,E,'13
'011904002,0,0,0,0,0,0,0,SMITHVILLE H S,N,N,BASTROP,'011,B,SMITHVILLE ISD,'011904,'09 - 12,S,'13
'011904041,0,0,0,0,1,0,0,SMITHVILLE J H,N,N,BASTROP,'011,C,SMITHVILLE ISD,'011904,'06 - 08,M,'13
'011904101,0,0,0,0,0,0,,SMITHVILLE EL,N,N,BASTROP,'011,D,SMITHVILLE ISD,'011904,'03 - 05,E,'13
'011904102,,,,,,,,BROWN PRI,N,N,BASTROP,'011,D,SMITHVILLE ISD,'011904,'EE - 02,E,'13
'011905001,0,0,0,0,1,1,0,MCDADE H S,N,N,BASTROP,'011,C,MCDADE ISD,'011905,'06 - 12,B,'13
'011905101,0,0,1,1,1,0,,MCDADE EL,N,N,BASTROP,'011,B,MCDADE ISD,'011905,'PK - 05,E,'13
'012901001,1,1,1,0,1,0,0,SEYMOUR H S,N,N,BAYLOR,'012,A,SEYMOUR ISD,'012901,'09 - 12,S,'09
'012901042,1,1,1,1,1,0,0,SEYMOUR MIDDLE,N,N,BAYLOR,'012,B,SEYMOUR ISD,'012901,'05 - 08,M,'09
'012901101,1,1,1,1,1,,,SEYMOUR EL,N,N,BAYLOR,'012,A,SEYMOUR ISD,'012901,'PK - 04,E,'09
'013801101,0,0,1,0,1,0,,ST MARY'S ACADEMY CHARTER SCHOOL,N,Y,BEE,'013,B,ST MARY'S ACADEMY CHARTER SCHOOL,'013801,'KG - 06,E,'02
'013901001,0,0,0,0,0,0,0,A C JONES H S,N,N,BEE,'013,C,BEEVILLE ISD,'013901,'09 - 12,S,'02
'013901004,,,1,1,1,1,,A C JONES HEALTH PROFESSIONS MAGNE,N,N,BEE,'013,A,BEEVILLE ISD,'013901,'09 - 10,S,'02
'013901041,0,0,0,0,0,0,0,MORENO J H,N,N,BEE,'013,D,BEEVILLE ISD,'013901,'06 - 08,M,'02
'013901042,1,1,1,0,1,1,1,THE JOE BARNHART ACADEMY,N,N,BEE,'013,A,BEEVILLE ISD,'013901,'06 - 08,M,'02
'013901101,1,0,0,0,1,0,,R A HALL EL,N,N,BEE,'013,C,BEEVILLE ISD,'013901,'01 - 05,E,'02
'013901102,0,0,0,0,0,0,,FADDEN-MCKEOWN-CHAMBLISS EL,N,N,BEE,'013,D,BEEVILLE ISD,'013901,'01 - 05,E,'02
'013901105,,,,,,,,HAMPTON-MORENO-DUGAT EARLY CHILDHO,N,N,BEE,'013,C,BEEVILLE ISD,'013901,'EE - KG,E,'02
'013902101,1,1,1,0,0,1,,PAWNEE EL / J H,N,N,BEE,'013,B,PAWNEE ISD,'013902,'PK - 08,E,'02
'013903001,0,0,0,0,0,0,0,PETTUS SECONDARY,N,N,BEE,'013,D,PETTUS ISD,'013903,'06 - 12,B,'02
'013903101,0,0,0,0,0,0,,PETTUS EL,N,N,BEE,'013,B,PETTUS ISD,'013903,'PK - 05,E,'02
'013905001,1,1,1,0,1,1,0,SKIDMORE-TYNAN H S,N,N,BEE,'013,A,SKIDMORE-TYNAN ISD,'013905,'09 - 12,S,'02
'013905041,1,1,1,1,0,0,0,SKIDMORE-TYNAN J H,N,N,BEE,'013,A,SKIDMORE-TYNAN ISD,'013905,'06 - 08,M,'02
'013905101,1,0,0,1,0,0,,SKIDMORE-TYNAN EL,N,N,BEE,'013,B,SKIDMORE-TYNAN ISD,'013905,'EE - 05,E,'02
'014801001,,,,,,,,RICHARD MILBURN ALTER H S (KILLEEN,Y,Y,BELL,'014,D,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801002,,,,,,,,RICHARD MILBURN ACADEMY ODESSA,Y,Y,BELL,'014,D,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801004,,,,,,,,RICHARD MILBURN ACADEMY LUBBOCK,Y,Y,BELL,'014,D,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801005,,,,,,,,RICHARD MILBURN ACADEMY HOUSTON (S,Y,Y,BELL,'014,B,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801006,,,,,,,,RICHARD MILBURN ACADEMY FORT WORTH,Y,Y,BELL,'014,D,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801007,,,,,,,,RICHARD MILBURN ACADEMY CORPUS CHR,Y,Y,BELL,'014,D,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801008,,,,,,,,RICHARD MILBURN ACADEMY AMARILLO,Y,Y,BELL,'014,D,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801009,,,,,,,,RICHARD MILBURN ACADEMY PASADENA,Y,Y,BELL,'014,F,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014801010,,,,,,,,RICHARD MILBURN ACADEMY MIDLAND SO,Y,Y,BELL,'014,F,RICHARD MILBURN ALTER HIGH SCHOOL,'014801,'09 - 12,S,'20
'014803002,,0,0,0,0,,,GEORGETOWN CHARTER ACADEMY,N,Y,BELL,'014,C,PRIORITY CHARTER SCHOOLS,'014803,'PK - 08,E,'12
'014803003,0,0,0,1,0,0,0,COVE CHARTER ACADEMY,N,Y,BELL,'014,C,PRIORITY CHARTER SCHOOLS,'014803,'PK - 12,B,'12
