CAMPUS,CD003ARE1218R,CD003ARE1219R,CD003ARE1318R,CD003ARE1319R,CD003ARE1S18R,CD003ARE1S19R,CD203ARE1218R,CD203ARE1219R,CD203ARE1318R,CD203ARE1319R,CD203ARE1S18R,CD203ARE1S19R,CD303ARE1218R,CD303ARE1219R,CD303ARE1318R,CD303ARE1319R,CD303ARE1S18R,CD303ARE1S19R,CD403ARE1218R,CD403ARE1219R,CD403ARE1318R,CD403ARE1319R,CD403ARE1S18R,CD403ARE1S19R,CDA03ARE1218R,CDA03ARE1219R,CDA03ARE1318R,CDA03ARE1319R,CDA03ARE1S18R,CDA03ARE1S19R,CDB03ARE1218R,CDB03ARE1219R,CDB03ARE1318R,CDB03ARE1319R,CDB03ARE1S18R,CDB03ARE1S19R,CDE03ARE1218R,CDE03ARE1219R,CDE03ARE1318R,CDE03ARE1319R,CDE03ARE1S18R,CDE03ARE1S19R,CDF03ARE1218R,CDF03ARE1219R,CDF03ARE1318R,CDF03ARE1319R,CDF03ARE1S18R,CDF03ARE1S19R,CDH03ARE1218R,CDH03ARE1219R,CDH03ARE1318R,CDH03ARE1319R,CDH03ARE1S18R,CDH03ARE1S19R,CDI03ARE1218R,CDI03ARE1219R,CDI03ARE1318R,CDI03ARE1319R,CDI03ARE1S18R,CDI03ARE1S19R,CDL03ARE1218R,CDL03ARE1219R,CDL03ARE1318R,CDL03ARE1319R,CDL03ARE1S18R,CDL03ARE1S19R,CDM03ARE1218R,CDM03ARE1219R,CDM03ARE1318R,CDM03ARE1319R,CDM03ARE1S18R,CDM03ARE1S19R,CDR03ARE1218R,CDR03ARE1219R,CDR03ARE1318R,CDR03ARE1319R,CDR03ARE1S18R,CDR03ARE1S19R,CDS03ARE1218R,CDS03ARE1219R,CDS03ARE1318R,CDS03ARE1319R,CDS03ARE1S18R,CDS03ARE1S19R,CDW03ARE1218R,CDW03ARE1219R,CDW03ARE1318R,CDW03ARE1319R,CDW03ARE1S18R,CDW03ARE1S19R,CNC03ARE1218R,CNC03ARE1219R,CNC03ARE1318R,CNC03ARE1319R,CNC03ARE1S18R,CNC03ARE1S19R,CNM03ARE1218R,CNM03ARE1219R,CNM03ARE1318R,CNM03ARE1319R,CNM03ARE1S18R,CNM03ARE1S19R,CNS03ARE1218R,CNS03ARE1219R,CNS03ARE1318R,CNS03ARE1319R,CNS03ARE1S18R,CNS03ARE1S19R
'061911110,9,33,0,33,55,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,44,49,18,28,79,72,29,67,0,33,86,67,29,29,5,7,73,50,43,43,16,27,77,73,35,45,8,36,73,73,.,.,.,.,.,.,0,-1,0,-1,44,-1,44,54,20,29,80,71,21,19,6,13,62,31,40,43,13,36,60,57,48,45,24,23,80,70,43,55,19,36,79,77,45,38,14,10,77,62,-1,-1,-1,-1,-1,-1
'061911111,43,36,29,36,86,71,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,46,42,29,28,72,83,33,-1,17,-1,83,-1,37,40,24,23,65,77,46,41,29,31,76,75,33,26,29,21,67,68,.,-1,.,-1,.,-1,38,36,31,36,85,71,45,43,30,24,68,95,18,30,13,25,45,65,24,11,6,0,29,44,52,52,29,32,71,90,45,45,30,32,73,84,50,33,28,20,67,80,-1,-1,-1,-1,-1,-1
'061911112,38,-1,0,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,45,38,25,17,72,77,47,38,13,8,73,69,38,38,19,8,63,79,40,30,11,20,73,77,41,31,22,6,67,88,-1,-1,-1,-1,-1,-1,33,-1,0,-1,83,-1,50,44,37,15,71,77,7,0,0,0,38,25,11,25,0,8,22,42,48,44,31,26,73,76,47,42,25,26,75,79,42,32,24,6,67,74,.,-1,.,-1,.,-1
'061911113,17,44,0,22,33,89,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,55,56,32,38,80,86,57,64,29,45,57,91,27,52,5,35,59,87,61,60,37,38,82,91,42,45,21,36,67,86,-1,.,-1,.,-1,.,17,50,0,25,33,88,46,52,26,38,77,82,23,29,0,18,55,65,38,38,8,25,46,63,57,56,33,37,90,84,58,55,38,41,83,85,46,58,18,29,71,92,.,67,.,33,.,83
'061911114,50,50,50,30,88,80,-1,-1,-1,-1,-1,-1,60,83,60,67,100,100,.,-1,.,-1,.,-1,69,65,48,51,94,92,63,-1,13,-1,88,-1,55,27,30,20,85,73,78,66,59,50,97,94,64,45,59,32,95,91,-1,-1,-1,-1,-1,-1,40,29,40,14,80,71,61,64,38,52,90,90,44,40,30,25,78,75,36,13,36,13,71,50,72,71,49,55,93,96,70,66,47,53,95,94,68,62,52,43,87,86,-1,-1,-1,-1,-1,-1
'061911115,-1,50,-1,33,-1,50,-1,.,-1,.,-1,.,-1,60,-1,40,-1,60,.,.,.,.,.,.,54,49,34,32,92,80,-1,38,-1,8,-1,69,63,23,13,10,88,53,58,51,42,39,93,80,54,44,38,24,85,85,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,48,48,23,26,90,80,15,17,0,11,75,47,23,33,0,5,54,52,54,53,36,40,92,81,53,54,33,33,90,80,56,39,38,28,100,81,-1,-1,-1,-1,-1,-1
'061911116,54,45,31,25,85,75,-1,-1,-1,-1,-1,-1,67,86,50,71,92,100,.,.,.,.,.,.,61,56,44,36,89,86,58,47,53,24,89,76,52,50,36,24,84,74,69,68,54,42,88,96,67,50,44,32,89,93,.,.,.,.,.,.,33,41,0,24,78,71,51,47,33,31,89,78,27,37,11,22,65,70,8,19,8,13,54,50,60,57,40,36,87,84,65,59,48,35,93,88,50,48,34,40,78,80,-1,.,-1,.,-1,.
'061911117,-1,9,-1,0,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,33,44,15,28,69,74,40,46,10,23,90,85,18,30,9,14,73,68,45,49,19,33,79,78,14,40,10,23,62,70,-1,.,-1,.,-1,.,-1,0,-1,0,-1,33,23,40,11,24,62,71,5,6,5,0,37,24,13,33,0,11,25,67,42,46,16,32,72,77,31,44,13,29,68,73,37,45,19,25,74,80,-1,-1,-1,-1,-1,-1
'061911118,-1,-1,-1,-1,-1,-1,40,-1,20,-1,60,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,38,46,24,26,74,78,17,20,8,20,58,53,17,22,8,13,50,70,34,52,26,37,77,78,43,35,29,12,71,76,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,40,38,23,13,72,77,9,28,5,3,36,66,30,8,30,8,60,58,39,57,25,34,78,87,41,54,30,30,80,82,32,34,13,20,63,71,13,-1,13,-1,50,-1
'061911119,.,-1,.,-1,.,-1,57,-1,43,-1,86,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,58,59,33,37,90,83,80,20,40,10,100,70,50,35,25,22,75,70,60,67,32,45,88,86,52,48,26,30,83,63,.,-1,.,-1,.,-1,.,.,.,.,.,.,56,52,33,29,93,79,22,0,4,0,67,13,31,32,23,11,62,58,59,66,33,42,92,90,58,59,31,38,90,80,58,59,38,32,92,89,-1,50,-1,38,-1,88
'061911120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,89,67,56,100,100,.,.,.,.,.,.,79,80,55,58,96,94,88,-1,63,-1,100,-1,63,73,50,33,88,93,82,83,55,58,95,97,67,71,60,59,93,94,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,76,76,56,58,98,91,50,46,32,15,86,69,60,60,10,20,80,70,81,83,53,61,96,94,82,81,59,59,97,93,73,76,48,55,94,97,-1,-1,-1,-1,-1,-1
'061911121,.,63,.,38,.,88,.,-1,.,-1,.,-1,.,75,.,75,.,88,.,.,.,.,.,.,.,58,.,35,.,89,.,56,.,25,.,81,.,55,.,36,.,91,.,59,.,28,.,94,.,60,.,50,.,90,.,.,.,.,.,.,.,57,.,29,.,86,.,56,.,41,.,85,.,33,.,17,.,58,.,56,.,44,.,78,.,52,.,24,.,91,.,64,.,36,.,93,.,48,.,34,.,83,.,-1,.,-1,.,-1
'061912001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061912041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061912101,32,33,29,24,84,82,50,43,13,29,100,86,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,48,45,35,32,87,82,40,40,20,20,40,60,40,40,28,28,80,78,54,53,40,43,85,88,38,33,30,23,86,83,-1,.,-1,.,-1,.,14,16,9,8,77,76,42,39,32,24,88,78,22,25,16,10,72,73,17,21,17,7,67,43,53,60,41,44,88,84,50,51,39,36,89,87,38,33,19,24,76,73,-1,40,-1,0,-1,80
'061912103,8,30,0,30,46,60,43,57,29,36,57,93,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,38,44,19,25,70,82,35,0,25,0,70,82,27,31,10,17,57,75,38,45,20,27,64,86,21,36,10,18,59,71,.,.,.,.,.,.,0,0,0,0,22,60,38,43,19,23,75,78,14,24,6,4,44,64,11,20,6,7,28,53,49,52,22,29,80,85,42,48,23,28,71,83,32,35,13,18,68,79,38,29,25,0,88,100
'061912105,21,14,0,0,64,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,47,53,25,29,86,86,40,-1,20,-1,100,-1,39,25,14,10,83,75,50,59,31,26,84,94,28,21,6,11,72,79,-1,.,-1,.,-1,.,18,0,0,0,55,67,44,49,20,31,87,79,42,20,8,0,75,72,57,44,14,22,93,78,56,71,33,39,94,92,48,57,25,32,80,89,43,41,24,18,100,76,.,20,.,20,.,60
'061914001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061914002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061914041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061914042,75,50,50,40,100,90,71,71,57,43,86,100,42,67,17,58,83,83,.,.,.,.,.,.,61,56,40,31,88,81,-1,-1,-1,-1,-1,-1,71,-1,43,-1,100,-1,55,67,41,26,86,93,70,40,50,30,80,80,.,-1,.,-1,.,-1,-1,33,-1,33,-1,83,65,50,39,33,89,75,14,19,7,14,50,57,-1,-1,-1,-1,-1,-1,60,59,38,24,90,78,66,53,42,30,92,82,44,67,31,33,75,78,-1,.,-1,.,-1,.
'061914103,30,29,24,11,59,66,40,-1,20,-1,80,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,36,39,28,25,68,68,23,33,15,0,62,67,24,29,20,14,54,59,37,47,29,37,78,77,29,33,22,19,61,65,.,.,.,.,.,.,24,29,18,11,56,66,36,33,27,17,59,62,15,24,11,10,48,55,10,12,0,0,20,24,50,47,44,41,78,74,41,43,32,30,74,72,26,20,19,5,55,50,-1,-1,-1,-1,-1,-1
'061914104,28,28,16,17,56,50,-1,20,-1,0,-1,60,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,30,36,16,23,66,60,24,36,16,21,68,50,24,28,15,15,65,51,40,33,23,22,75,53,25,29,14,15,58,56,.,.,.,.,.,.,14,28,5,17,48,50,23,37,11,24,59,65,15,17,6,6,46,40,8,17,0,8,58,50,37,44,17,35,67,68,30,41,16,26,63,65,31,19,16,14,72,43,-1,-1,-1,-1,-1,-1
'061914105,21,41,13,18,62,72,-1,-1,-1,-1,-1,-1,33,-1,17,-1,83,-1,-1,.,-1,.,-1,.,36,39,24,23,76,73,36,21,29,11,79,58,20,30,14,15,66,65,42,38,33,24,73,69,33,40,21,22,71,78,.,.,.,.,.,.,21,41,13,18,61,72,28,39,14,23,79,77,16,29,9,11,63,66,0,20,0,0,20,40,43,43,30,30,78,74,34,38,25,20,73,75,39,41,23,33,81,70,-1,-1,-1,-1,-1,-1
'061914107,14,65,0,38,57,88,-1,-1,-1,-1,-1,-1,-1,67,-1,17,-1,100,.,-1,.,-1,.,-1,49,51,29,30,78,83,56,59,22,44,83,85,44,55,19,30,72,85,61,54,47,31,92,90,44,60,25,32,63,84,.,.,.,.,.,.,14,57,0,33,57,86,41,48,16,28,69,76,25,37,6,24,47,73,36,71,0,36,36,71,51,40,33,23,82,77,45,48,27,27,75,83,61,61,35,39,87,83,-1,-1,-1,-1,-1,-1
'061914108,31,39,15,16,88,74,-1,71,-1,57,-1,86,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,41,44,17,25,85,79,-1,58,-1,25,-1,92,31,37,15,19,89,75,46,52,15,30,89,78,32,45,15,25,84,78,.,.,.,.,.,.,30,39,15,16,87,74,35,37,19,20,81,80,27,26,12,11,80,67,13,30,13,20,63,50,55,35,23,20,90,78,40,43,21,22,84,79,42,50,4,38,88,79,.,-1,.,-1,.,-1
'062901001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062901041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062901042,-1,40,-1,0,-1,80,40,-1,20,-1,80,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,35,37,25,20,74,73,21,27,21,0,71,73,27,29,16,9,69,69,45,32,32,22,81,65,24,34,16,17,69,73,.,.,.,.,.,.,-1,40,-1,0,-1,80,29,42,21,19,70,81,31,21,29,11,63,54,21,33,14,0,36,52,56,43,41,33,82,70,36,33,25,19,73,71,32,52,24,24,80,79,-1,-1,-1,-1,-1,-1
'062901104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062902001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,42,8,25,85,83,-1,.,-1,.,-1,.,38,40,13,20,75,80,60,50,0,25,80,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,25,-1,13,-1,88,-1,20,20,0,0,60,60,-1,-1,-1,-1,-1,-1,50,44,13,22,100,89,45,36,9,27,91,82,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'062903001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062903041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062903102,25,19,8,8,61,62,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,31,29,13,16,70,68,44,20,11,10,67,50,27,24,7,15,67,62,32,27,15,23,74,75,27,24,8,13,66,62,.,.,.,.,.,.,19,9,3,0,56,55,29,31,10,11,66,63,17,11,2,6,58,50,32,15,5,5,42,35,43,48,30,28,87,92,29,30,11,16,70,68,39,26,22,16,72,68,-1,-1,-1,-1,-1,-1
'062903103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062904001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062904041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'062904102,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,26,17,15,7,62,57,-1,-1,-1,-1,-1,-1,20,10,5,3,55,38,26,20,21,10,53,60,20,4,5,0,45,42,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,25,15,10,4,70,54,0,10,0,0,41,33,20,17,0,0,40,33,35,33,29,14,88,76,19,19,12,8,62,58,38,10,23,0,62,50,.,-1,.,-1,.,-1
'062905101,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,44,38,22,23,89,77,.,.,.,.,.,.,38,57,13,29,88,86,20,67,0,33,100,83,-1,57,-1,29,-1,86,.,.,.,.,.,.,.,-1,.,-1,.,-1,-1,14,-1,14,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,17,-1,67,29,40,29,40,86,100,-1,38,-1,13,-1,63,.,-1,.,-1,.,-1
'062906101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,65,25,35,100,94,.,.,.,.,.,.,57,63,29,13,100,88,60,57,40,29,100,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,43,70,14,40,100,90,.,43,.,0,.,86,.,.,.,.,.,.,56,64,33,43,100,100,56,64,22,36,100,93,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1
'063903001,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,27,47,13,7,60,73,.,.,.,.,.,.,13,38,0,13,63,75,38,17,25,0,63,67,14,-1,0,-1,57,-1,.,.,.,.,.,.,.,.,.,.,.,.,14,67,0,11,57,78,13,-1,0,-1,50,-1,-1,-1,-1,-1,-1,-1,38,58,25,8,63,92,33,45,17,0,58,82,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'063906001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,14,13,0,63,43,.,.,.,.,.,.,17,0,17,0,67,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,20,-1,20,-1,60,-1,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,33,-1,17,-1,67,-1,20,-1,0,-1,40,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'064903001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'064903041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'064903102,29,29,18,0,57,100,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,30,46,22,25,72,85,-1,-1,-1,-1,-1,-1,25,37,17,18,67,83,29,51,20,30,80,91,26,44,20,24,71,85,.,.,.,.,.,.,29,29,18,0,57,100,32,40,24,21,64,79,14,28,9,11,59,74,7,22,7,0,21,44,100,-1,40,-1,100,-1,28,48,21,28,72,86,39,32,25,14,71,82,-1,-1,-1,-1,-1,-1
'064903103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'065901001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'065901041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'065901101,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,43,64,31,36,86,88,-1,-1,-1,-1,-1,-1,37,47,21,18,79,88,41,63,27,19,82,88,-1,83,-1,17,-1,100,.,.,.,.,.,.,.,.,.,.,.,.,46,65,38,53,92,88,17,50,6,31,72,81,-1,25,-1,0,-1,50,48,63,38,46,90,83,58,72,42,40,92,88,0,38,0,25,67,88,-1,-1,-1,-1,-1,-1
'065902001,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,50,56,25,100,75,.,.,.,.,.,.,100,50,50,25,100,75,100,-1,40,-1,100,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,40,63,0,100,80,100,20,60,0,100,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'066005101,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,17,-1,17,-1,67,.,.,.,.,.,.,-1,17,-1,17,-1,67,-1,-1,-1,-1,-1,-1,-1,17,-1,17,-1,67,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,-1,20,-1,20,-1,80,.,-1,.,-1,.,-1,.,.,.,.,.,.,-1,20,-1,20,-1,80,.,-1,.,-1,.,-1,.,.,.,.,.,.
'066901001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'066901041,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,45,5,30,73,75,.,.,.,.,.,.,18,39,6,28,71,72,17,56,0,44,75,89,27,45,5,30,73,75,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,40,36,10,18,70,64,20,0,0,0,40,29,20,-1,0,-1,20,-1,.,.,.,.,.,.,32,47,5,35,74,76,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'066902001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
