NAME,TYPE,LENGTH,LABEL
CDH03ARE1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Hispanic, STAAR Reading/ELA Rate"
CDM03AMA1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Male, STAAR Mathematics Rate"
CDM03ARE1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Male, STAAR Reading/ELA Rate"
CD403AMA1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Pacific Islander, STAAR Mathematics Rate"
CD403ARE1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Pacific Islander, STAAR Reading/ELA Rate"
CDS03AMA1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Special Ed, STAAR Mathematics Rate"
CDS03ARE1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Special Ed, STAAR Reading/ELA Rate"
CD203AMA1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Two or More Races, STAAR Mathematics Rate"
CD203ARE1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, Two or More Races, STAAR Reading/ELA Rate"
CDW03AMA1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, White, STAAR Mathematics Rate"
CDW03ARE1218R,Numeric,8,"Campus 2018 Domain 1A: Meets Grade Level STD, Grade 3, White, STAAR Reading/ELA Rate"
