CAMPUS,CD203ARE1217R,CD203ARE1218R,CD203ARE1317R,CD203ARE1318R,CD203ARE1S17R,CD203ARE1S18R,CD303ARE1217R,CD303ARE1218R,CD303ARE1317R,CD303ARE1318R,CD303ARE1S17R,CD303ARE1S18R,CD403ARE1217R,CD403ARE1218R,CD403ARE1317R,CD403ARE1318R,CD403ARE1S17R,CD403ARE1S18R,CDA03ARE1217R,CDA03ARE1218R,CDA03ARE1317R,CDA03ARE1318R,CDA03ARE1S17R,CDA03ARE1S18R,CDB03ARE1217R,CDB03ARE1218R,CDB03ARE1317R,CDB03ARE1318R,CDB03ARE1S17R,CDB03ARE1S18R,CDE03ARE1217R,CDE03ARE1218R,CDE03ARE1317R,CDE03ARE1318R,CDE03ARE1S17R,CDE03ARE1S18R,CDF03ARE1217R,CDF03ARE1218R,CDF03ARE1317R,CDF03ARE1318R,CDF03ARE1S17R,CDF03ARE1S18R,CDH03ARE1217R,CDH03ARE1218R,CDH03ARE1317R,CDH03ARE1318R,CDH03ARE1S17R,CDH03ARE1S18R,CDI03ARE1217R,CDI03ARE1218R,CDI03ARE1317R,CDI03ARE1318R,CDI03ARE1S17R,CDI03ARE1S18R,CDL03ARE1217R,CDL03ARE1218R,CDL03ARE1317R,CDL03ARE1318R,CDL03ARE1S17R,CDL03ARE1S18R,CDM03ARE1217R,CDM03ARE1218R,CDM03ARE1317R,CDM03ARE1318R,CDM03ARE1S17R,CDM03ARE1S18R,CDR03ARE1217R,CDR03ARE1218R,CDR03ARE1317R,CDR03ARE1318R,CDR03ARE1S17R,CDR03ARE1S18R,CDS03ARE1217R,CDS03ARE1218R,CDS03ARE1317R,CDS03ARE1318R,CDS03ARE1S17R,CDS03ARE1S18R,CDW03ARE1217R,CDW03ARE1218R,CDW03ARE1317R,CDW03ARE1318R,CDW03ARE1S17R,CDW03ARE1S18R
'031901136,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,31,22,14,77,78,.,.,.,.,.,.,41,30,22,14,77,78,50,39,26,19,84,80,41,31,22,14,77,78,.,.,.,.,.,.,32,-1,15,-1,70,-1,30,23,17,10,67,77,32,22,15,9,70,73,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'031901137,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,61,54,47,33,87,87,.,-1,.,-1,.,-1,58,55,46,34,87,87,60,62,52,39,85,89,61,55,47,33,87,87,.,.,.,.,.,.,26,-1,22,-1,65,-1,61,47,42,26,89,84,38,51,29,29,78,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031901138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,46,23,26,76,81,.,.,.,.,.,.,48,46,23,26,76,81,43,44,22,23,76,85,48,46,23,26,76,81,.,.,.,.,.,.,36,-1,14,-1,64,-1,52,48,24,29,76,77,39,30,15,13,69,68,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'031901139,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,64,38,35,83,96,.,.,.,.,.,.,60,64,38,35,83,96,65,60,47,33,86,95,60,62,38,34,83,96,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,57,68,30,38,81,97,36,55,18,21,64,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031901140,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,51,50,31,30,79,85,.,.,.,.,.,.,51,48,31,29,80,85,60,49,33,34,85,85,51,51,31,31,79,85,.,.,.,.,.,.,24,-1,20,-1,56,-1,43,51,30,27,74,85,25,22,15,11,60,74,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'031901141,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,42,32,23,14,89,70,-1,.,-1,.,-1,.,40,31,21,12,89,69,41,27,24,13,84,64,43,31,23,13,89,70,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,43,37,22,14,94,77,28,19,9,8,84,63,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031901142,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,60,58,33,84,85,.,-1,.,-1,.,-1,68,58,57,30,84,85,73,55,63,39,85,84,66,60,57,33,84,84,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,59,66,51,28,82,85,64,53,55,25,83,82,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031901143,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,55,47,33,30,82,88,.,.,.,.,.,.,56,46,34,30,84,88,59,56,41,35,86,91,56,48,33,30,83,88,.,.,.,.,.,.,32,-1,14,-1,78,-1,52,40,25,26,79,85,38,28,21,10,76,80,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1
'031901144,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,73,33,44,91,94,.,-1,.,-1,.,-1,60,74,34,44,92,95,63,67,39,35,92,90,60,74,33,44,91,94,.,.,.,.,.,.,55,59,27,29,86,91,56,80,28,52,91,98,51,60,25,34,83,91,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
'031903001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903045,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903102,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,37,45,22,25,67,80,.,.,.,.,.,.,35,41,20,20,65,80,40,50,25,27,70,85,37,47,21,28,67,81,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,35,40,19,24,65,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,37,21,22,75,69,.,-1,.,-1,.,-1,31,32,15,20,74,67,41,39,24,24,76,71,38,33,21,20,75,67,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,36,18,20,75,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,57,37,39,79,87,.,.,.,.,.,.,51,53,37,37,81,86,63,60,52,40,89,90,52,57,37,39,79,86,.,.,.,.,.,.,-1,58,-1,42,-1,95,40,54,20,38,68,83,36,47,21,31,67,78,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1
'031903105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,20,33,70,79,.,.,.,.,.,.,42,42,21,33,70,77,49,57,23,43,71,90,41,42,21,33,69,79,.,.,.,.,.,.,51,42,23,32,66,79,36,32,18,26,68,71,35,28,17,22,58,72,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031903106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,45,26,20,91,92,.,.,.,.,.,.,41,44,25,18,91,91,40,48,30,32,90,100,40,46,27,20,91,92,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,41,-1,22,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,34,21,18,70,74,.,-1,.,-1,.,-1,33,34,18,16,67,72,34,47,19,27,66,73,38,36,20,19,68,76,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,42,-1,23,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,43,34,20,86,83,.,.,.,.,.,.,50,43,31,20,88,83,50,64,28,36,83,86,51,39,34,18,86,82,.,.,.,.,.,.,60,-1,33,-1,87,-1,53,-1,41,-1,88,-1,45,-1,27,-1,77,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1
'031903109,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,36,21,19,15,62,62,.,.,.,.,.,.,33,19,18,12,58,58,43,27,27,23,73,77,37,21,20,14,60,60,.,.,.,.,.,.,-1,22,-1,12,-1,61,29,-1,13,-1,51,-1,-1,18,-1,12,-1,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,40,16,15,70,77,.,.,.,.,.,.,45,37,14,13,71,75,62,42,29,21,86,79,45,41,16,16,71,78,.,.,.,.,.,.,63,-1,31,-1,75,-1,-1,-1,-1,-1,-1,-1,37,-1,13,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,36,34,20,86,80,.,-1,.,-1,.,-1,40,31,24,19,79,73,60,40,40,25,94,80,46,34,31,19,84,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,33,29,15,77,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,-1,69,-1,100,-1
'031903112,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,41,33,22,20,78,69,.,.,.,.,.,.,40,36,20,21,83,71,59,42,32,26,91,84,40,34,22,20,78,70,.,.,.,.,.,.,56,-1,31,-1,75,-1,-1,-1,-1,-1,-1,-1,40,-1,20,-1,64,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1
'031903114,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,59,32,36,79,91,.,.,.,.,.,.,48,57,30,32,78,91,48,53,35,31,83,91,49,60,32,36,79,91,.,.,.,.,.,.,56,50,39,28,78,89,50,67,30,42,77,92,42,50,22,21,69,88,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1
'031903116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,32,21,16,67,74,.,.,.,.,.,.,36,32,18,18,64,75,51,31,28,17,79,69,38,34,19,17,67,75,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,31,33,16,15,57,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903117,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,52,52,32,36,82,89,-1,.,-1,.,-1,.,46,45,23,30,78,86,66,60,38,42,82,92,52,52,30,35,81,90,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,41,42,27,29,82,85,24,17,16,10,66,79,-1,-1,-1,-1,-1,-1,-1,71,-1,71,-1,100
'031903118,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031903120,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,52,42,39,32,84,75,.,.,.,.,.,.,49,35,37,23,78,72,53,49,39,38,82,78,53,40,42,31,84,74,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,51,37,39,27,86,73,-1,28,-1,13,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903122,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,32,36,15,24,59,63,.,-1,.,-1,.,-1,30,29,14,16,56,59,33,39,18,29,61,63,32,33,16,22,59,61,-1,.,-1,.,-1,.,27,-1,18,-1,52,-1,32,32,12,19,58,64,25,18,12,11,52,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,49,53,27,81,88,-1,-1,-1,-1,-1,-1,55,44,47,24,79,85,70,39,61,27,86,93,62,48,52,27,80,87,.,.,.,.,.,.,56,-1,44,-1,78,-1,55,59,42,26,73,83,44,31,31,11,64,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031903204,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031905001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031905002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031905003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031905041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031905101,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,25,35,13,14,52,70,.,.,.,.,.,.,21,33,8,14,46,68,-1,43,-1,17,-1,70,26,36,14,14,53,69,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,25,27,14,11,52,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031905103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,34,11,18,59,66,.,-1,.,-1,.,-1,23,35,9,17,57,64,31,35,13,21,65,65,27,34,11,17,58,66,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,34,-1,16,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031905105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031905106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,44,36,26,78,78,-1,.,-1,.,-1,.,44,41,29,27,73,76,42,42,32,22,71,83,51,44,37,26,78,78,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,54,46,39,30,83,73,27,-1,19,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,42,33,25,82,82,.,.,.,.,.,.,40,36,27,21,77,82,45,54,27,32,80,81,50,42,31,26,80,83,.,.,.,.,.,.,46,34,35,22,88,81,59,34,41,21,84,83,41,32,29,21,79,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906102,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,58,65,39,42,88,93,.,.,.,.,.,.,49,53,29,28,87,90,63,59,46,41,92,89,58,63,39,39,88,93,-1,.,-1,.,-1,.,46,77,25,38,83,85,54,70,34,43,86,97,48,67,28,33,86,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,39,25,18,78,84,-1,.,-1,.,-1,.,34,37,25,14,75,84,32,48,29,23,79,84,33,39,24,18,77,84,.,.,.,.,.,.,36,-1,28,-1,75,-1,34,31,21,14,76,83,35,-1,25,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031906104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,48,38,22,87,85,.,.,.,.,.,.,53,49,30,21,85,86,59,45,41,23,86,75,57,46,39,22,88,84,.,.,.,.,.,.,48,-1,26,-1,78,-1,56,50,35,22,88,93,49,-1,26,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031906106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,51,27,29,67,83,.,.,.,.,.,.,43,46,27,21,66,79,46,58,23,38,69,78,41,49,25,27,65,82,.,-1,.,-1,.,-1,31,35,19,16,56,71,42,45,33,21,64,88,30,34,19,14,57,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,52,36,31,86,84,.,.,.,.,.,.,54,49,35,29,85,82,57,47,41,28,84,84,55,52,35,31,85,84,.,.,.,.,.,.,48,38,35,21,83,74,55,56,30,33,87,83,49,41,33,18,84,77,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031906108,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,70,69,53,41,94,99,.,-1,.,-1,.,-1,69,64,53,36,95,99,77,79,59,47,98,98,70,68,53,41,94,99,.,.,.,.,.,.,62,63,46,28,95,100,63,59,48,35,91,100,58,59,45,23,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906109,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,70,49,48,26,97,91,.,.,.,.,.,.,66,39,50,25,95,88,67,53,46,28,98,97,70,49,48,27,97,90,.,.,.,.,.,.,60,52,46,33,91,89,73,46,51,24,96,86,57,47,43,31,92,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031906110,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,44,47,24,29,80,81,.,.,.,.,.,.,38,42,21,24,77,82,42,51,26,40,80,91,43,47,23,29,80,81,.,.,.,.,.,.,28,33,21,17,72,77,46,43,21,20,81,73,32,29,18,14,71,74,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.
'031909001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031909003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031909041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'031909101,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,37,30,22,13,61,73,.,.,.,.,.,.,32,28,20,10,57,70,38,33,20,14,69,72,37,26,21,8,62,71,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,36,-1,23,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'031909102,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,35,27,18,16,62,82,.,.,.,.,.,.,34,24,15,14,57,81,40,23,21,18,67,87,35,23,17,12,62,81,.,-1,.,-1,.,-1,-1,21,-1,12,-1,84,31,30,15,15,56,78,-1,19,-1,9,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
